sn,zhel,zcmb,st,est,Mmax,eMmax,BV,eBV,t0,EBVmw,eEBVmw,covMs,covBVs,covBV_M,host,dist,edist,sample
SN2004gs,0.0266267,0.0282767,0.705,0.003,17.346,0.008,0.20199999999999818,0.006403124237432849,-3.8,0.0257,0.0026,-2.553e-06,-5.279999999999999e-07,0.0,N/A,-1.0,-1.0,CSPI
SN2005bl,0.0240433,0.0251133,0.427,0.011,17.803,0.037,0.6890000000000001,0.03360059523282288,-6.5,0.025,0.0025,9.193e-05,8.973000000000001e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2005mc,0.0252033,0.0260067,0.664,0.02,17.197,0.067,0.31400000000000006,0.06742403132415029,2.4,0.0379,0.0038,-6.914e-05,-3.559e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006bd,0.0257067,0.0267967,0.398,0.009,17.919,0.036,0.7119999999999997,0.03911521443121589,-1.4,0.0231,0.0023,6.574e-05,3.3899999999999997e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2006eq,0.0494667,0.0483667,0.649,0.023,18.592,0.073,0.3099999999999987,0.07742092740338365,2.1,0.0416,0.0042,-9.85e-05,-5.1689e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006gj,0.0283333,0.0269667,0.708,0.007,17.529,0.017,0.2980000000000018,0.012041594578792296,-1.7,0.0705,0.007,-2.968e-05,-1.3649999999999996e-06,0.0,N/A,-1.0,-1.0,CSPI
SN2006gt,0.04474,0.0436433,0.575,0.01,18.359,0.019,0.24899999999999878,0.016278820596099707,-2.3,0.0323,0.0032,-4.636e-06,-1.645e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006hb,0.0153333,0.0153367,0.685,0.018,15.853,0.064,0.1850000000000005,0.0660302960768767,4.4,0.0236,0.0024,-2.638e-05,-1.7909e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2006ob,0.0591967,0.0582567,0.743,0.009,18.656,0.017,0.1109999999999971,0.014866068747318505,-3.0,0.0285,0.0029,-1.207e-05,1.9908e-05,0.0,N/A,-1.0,-1.0,CSPI
SN2007al,0.0121133,0.0132629,0.385,0.006,16.539,0.03,0.6999999999999993,0.025,-0.2,0.036,0.0036,1.752e-05,3.759999999999998e-06,0.0,N/A,-1.0,-1.0,CSPI
